Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2022-04-17 10:30 (-04),,,5,Cycling,,5 min Lanebreak Ride,,38,125,41%,82,17.61,1.48,49,,,
2022-04-18 09:45 (-04),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2022-04-02 07:51 (-04),615,171,47%,81,20.03,20.04,790,132.20,,
2022-04-18 10:46 (-04),On Demand,Hannah Frankson,10,Cycling,Cool Down,10 min Cool Down Ride,2022-04-14 02:00 (-04),66,110,44%,70,16.74,2.80,108,116.67,,
2022-04-18 10:57 (-04),On Demand,Hannah Frankson,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-04-14 02:00 (-04),,,,,,,34,92.68,,
2022-04-19 09:43 (-04),On Demand,Leanne Hainsby,10,Cycling,Warm Up,10 min Warm Up Ride,2021-10-31 03:30 (-04),75,125,37%,93,17.46,2.91,96,109.32,,
2022-04-19 09:54 (-04),On Demand,Sam Yo,30,Cycling,Low Impact,30 min Low Impact Ride,2022-04-10 05:25 (-04),252,140,42%,85,18.51,9.26,308,113.54,,
2022-04-19 10:24 (-04),On Demand,Hannah Corbin,30,Cycling,Low Impact,30 min Low Impact Ride,2021-10-29 07:23 (-04),247,137,44%,81,18.41,9.21,304,112.67,,
2022-04-19 10:55 (-04),On Demand,Leanne Hainsby,30,Cycling,Low Impact,30 min Low Impact Ride,2021-04-11 06:55 (-04),269,149,44%,85,18.98,9.50,332,118.74,,
2022-04-19 11:26 (-04),On Demand,Hannah Frankson,10,Cycling,Cool Down,10 min Cool Down Ride,2020-09-05 07:05 (-04),68,114,42%,78,17.06,2.85,102,113.28,,
2022-04-22 09:13 (-04),,,5,Cycling,,5 min Lanebreak Ride,,34,111,37%,87,16.50,1.40,44,,,
2022-04-22 09:19 (-04),,,20,Cycling,,20 min Lanebreak Ride,,210,174,46%,84,20.01,6.69,271,,,
2022-04-22 09:40 (-04),,,10,Cycling,,10 min Lanebreak Ride,,83,137,42%,84,18.08,3.04,107,,,
2022-04-22 09:51 (-04),,,5,Cycling,,5 min Lanebreak Ride,,53,175,49%,78,20.19,1.70,68,,,
2022-04-22 09:57 (-04),,,5,Cycling,,5 min Lanebreak Ride,,40,135,40%,89,18.08,1.50,52,,,
2022-04-23 09:29 (-04),On Demand,Jess King,10,Cycling,Warm Up,10 min Warm Up Ride,2020-01-08 14:32 (-04),88,146,41%,91,18.70,3.12,109,118.32,,
2022-04-23 09:40 (-04),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,2022-04-16 07:53 (-04),570,158,44%,87,19.40,19.41,812,134.40,,
2022-04-23 10:40 (-04),On Demand,Jenn Sherman,30,Cycling,Low Impact,30 min Low Impact Ride,2022-04-19 09:52 (-04),236,131,42%,82,18.04,9.03,401,133.50,,
2022-04-23 11:11 (-04),On Demand,Hannah Frankson,10,Cycling,Cool Down,10 min Cool Down Ride,2019-12-09 07:32 (-04),65,108,40%,79,16.66,2.78,125,127.75,,
2022-04-23 11:22 (-04),,,5,Cycling,,5 min Lanebreak Ride,,27,90,37%,79,15.41,1.30,35,,,
2022-04-24 09:57 (-04),On Demand,Alex Toussaint,10,Cycling,Warm Up,10 min Beyonce Warm Up Ride,2021-10-19 13:30 (-04),67,111,37%,89,16.56,2.76,91,104.22,,
2022-04-24 10:08 (-04),On Demand,Hannah Frankson,30,Cycling,Low Impact,30 min Low Impact Ride,2022-04-23 05:24 (-04),270,150,44%,85,19.06,9.54,351,122.81,,
2022-04-24 10:38 (-04),On Demand,Jess King,30,Cycling,Low Impact,30 min Low Impact Ride,2020-01-28 13:20 (-04),265,147,44%,82,18.91,9.46,378,128.51,,
2022-04-24 11:10 (-04),On Demand,Emma Lovewell,30,Cycling,Low Impact,30 min Low Impact Ride,2019-12-15 18:02 (-04),207,115,41%,79,17.08,8.54,343,121.09,,
2022-04-24 11:40 (-04),On Demand,Sam Yo,10,Cycling,Cool Down,10 min Cool Down Ride,2020-08-08 11:35 (-04),64,107,40%,78,16.62,2.77,112,120.00,,
2022-04-26 09:42 (-04),On Demand,Leanne Hainsby,30,Cycling,Music,30 min Dance Music Ride,2022-04-25 13:25 (-04),319,177,48%,81,20.20,10.10,383,129.78,,
2022-04-26 10:13 (-04),On Demand,Bradley Rose,30,Cycling,Low Impact,30 min Low Impact Ride,2022-03-12 07:55 (-04),279,155,46%,80,19.30,9.65,359,124.48,,
2022-04-26 10:45 (-04),,,20,Cycling,,20 min Lanebreak Ride,,210,174,49%,79,20.05,6.71,270,,,
2022-04-26 11:06 (-04),,,5,Cycling,,5 min Lanebreak Ride,,38,125,41%,80,17.52,1.47,49,,,
2022-04-26 11:12 (-04),,,5,Cycling,,5 min Lanebreak Ride,,31,104,36%,88,16.16,1.35,40,,,
